DATE,agg_sent_finbert,dom_sent_finbert,agg_sent_news,dom_sent_news
2018-12-07 00:00:00,"[0.07142148166894913, 0.17902608215808868, 0.7495524883270264]",0,"[0.21748821437358856, 0.7716715335845947, 0.01084029208868742]",-1
2019-01-03 00:00:00,"[0.030426811426877975, 0.6876148581504822, 0.28195837140083313]",-1,"[0.7046635150909424, 0.028706612065434456, 0.2666298747062683]",1
2019-03-13 00:00:00,"[0.032589685171842575, 0.4538275897502899, 0.5135827660560608]",0,"[0.003753569209948182, 0.6627305150032043, 0.333516001701355]",-1
2019-04-10 00:00:00,"[0.024384701624512672, 0.44890037178993225, 0.5267149806022644]",0,"[0.3021027743816376, 0.6774019598960876, 0.020495353266596794]",-1
2019-06-12 00:00:00,"[0.02262815088033676, 0.9240122437477112, 0.053359609097242355]",-1,"[0.7483963370323181, 0.2504098117351532, 0.0011937794042751193]",1
2019-06-20 00:00:00,"[0.16530880331993103, 0.7496799230575562, 0.0850113108754158]",-1,"[0.4982125461101532, 0.0004313231911510229, 0.5013561248779297]",0
2019-07-10 00:00:00,"[0.045819271355867386, 0.33989444375038147, 0.6142862439155579]",0,"[0.6627242565155029, 0.3352259695529938, 0.002049793256446719]",1
2019-07-24 00:00:00,"[0.04509308934211731, 0.3695422410964966, 0.5853646993637085]",0,"[0.04417641833424568, 0.8163150548934937, 0.13950854539871216]",-1
2019-08-05 00:00:00,"[0.05216674879193306, 0.8332800269126892, 0.11455321311950684]",-1,"[0.8179842829704285, 0.15421324968338013, 0.027802499011158943]",1
2019-08-12 00:00:00,"[0.022090725600719452, 0.9469242095947266, 0.030985072255134583]",-1,"[0.9983975887298584, 0.0007807560614310205, 0.0008216436835937202]",1
2019-08-21 00:00:00,"[0.06887929141521454, 0.5885287523269653, 0.34259194135665894]",-1,"[0.5359256267547607, 0.4591076374053955, 0.004966743290424347]",1
2019-09-01 00:00:00,"[0.04643314331769943, 0.8163297176361084, 0.137237086892128]",-1,"[0.6638098955154419, 0.19157546758651733, 0.14461466670036316]",1
2019-09-11 00:00:00,"[0.06028541550040245, 0.1482897400856018, 0.7914248704910278]",0,"[0.11177461594343185, 0.6795093417167664, 0.20871604979038239]",-1
2019-09-25 00:00:00,"[0.06479167193174362, 0.11271451413631439, 0.8224937915802002]",0,"[0.12249837070703506, 0.7481215596199036, 0.12938010692596436]",-1
2019-10-02 00:00:00,"[0.06605418026447296, 0.48475417494773865, 0.4491916596889496]",-1,"[0.4984395205974579, 0.2509026527404785, 0.2506577968597412]",1
2019-10-03 00:00:00,"[0.04265445098280907, 0.28729769587516785, 0.6700478196144104]",0,"[0.22313055396080017, 0.5044323205947876, 0.27243709564208984]",-1
2019-10-08 00:00:00,"[0.04823879152536392, 0.35543590784072876, 0.5963252782821655]",0,"[0.14293912053108215, 0.52901691198349, 0.3280439078807831]",-1
2020-01-15 00:00:00,"[0.06666155159473419, 0.15906769037246704, 0.77427077293396]",0,"[0.09001389890909195, 0.6770969033241272, 0.23288917541503906]",-1
2020-01-17 00:00:00,"[0.16425681114196777, 0.11432650685310364, 0.7214166522026062]",0,"[0.0020451375748962164, 0.000333546893671155, 0.9976212978363037]",0
2020-01-27 00:00:00,"[0.01847350411117077, 0.7197251915931702, 0.2618013620376587]",-1,"[0.746491014957428, 0.251489520072937, 0.0020194847602397203]",1
2020-03-11 00:00:00,"[0.04568192735314369, 0.4577585458755493, 0.4965595006942749]",0,"[0.35082384943962097, 0.5857806205749512, 0.06339551508426666]",-1
2020-03-13 00:00:00,"[0.03784659504890442, 0.7227750420570374, 0.23937828838825226]",-1,"[0.3461475074291229, 0.08673588931560516, 0.5671166181564331]",0
2020-03-16 00:00:00,"[0.0499962717294693, 0.4681297838687897, 0.4818739593029022]",0,"[0.3251701891422272, 0.5850465893745422, 0.08978322893381119]",-1
2020-03-17 00:00:00,"[0.08772215247154236, 0.48445627093315125, 0.4278215765953064]",-1,"[0.7484618425369263, 0.2497129589319229, 0.0018251482397317886]",1
2020-03-23 00:00:00,"[0.03715570271015167, 0.3364943265914917, 0.6263499855995178]",0,"[0.46374472975730896, 0.53476881980896, 0.0014864244731143117]",-1
2020-03-27 00:00:00,"[0.09472239762544632, 0.32997316122055054, 0.5753044486045837]",0,"[0.19548697769641876, 0.7760307192802429, 0.028482258319854736]",-1
2020-03-31 00:00:00,"[0.042258284986019135, 0.630515456199646, 0.3272262215614319]",-1,"[0.45158013701438904, 0.34308022260665894, 0.20533967018127441]",1
2020-04-16 00:00:00,"[0.13749335706233978, 0.19046951830387115, 0.6720371246337891]",0,"[0.001657232642173767, 0.5029844045639038, 0.49535834789276123]",-1
2020-04-22 00:00:00,"[0.05072527751326561, 0.3905089199542999, 0.5587658286094666]",0,"[0.28081631660461426, 0.07414903491735458, 0.645034670829773]",0
2020-04-23 00:00:00,"[0.02703016996383667, 0.6404348611831665, 0.3325349688529968]",-1,"[0.5476004481315613, 0.4214886724948883, 0.030910860747098923]",1
2020-05-14 00:00:00,"[0.026203298941254616, 0.6300321817398071, 0.3437644839286804]",-1,"[0.6620956063270569, 0.1409423053264618, 0.1969621479511261]",1
2020-05-27 00:00:00,"[0.06557635217905045, 0.7750721573829651, 0.1593514233827591]",-1,"[0.6751573085784912, 0.00037758774124085903, 0.32446518540382385]",1
2020-05-28 00:00:00,"[0.09534206241369247, 0.5591543912887573, 0.34550347924232483]",-1,"[0.021976804360747337, 0.43915900588035583, 0.538864254951477]",0
2020-05-29 00:00:00,"[0.08426984399557114, 0.610869824886322, 0.30486035346984863]",-1,"[0.000672198657412082, 0.3330555260181427, 0.6662723422050476]",0
2020-06-08 00:00:00,"[0.21665580570697784, 0.5161939859390259, 0.2671501636505127]",-1,"[0.0002919889520853758, 0.2500278651714325, 0.7496801614761353]",0
2020-07-01 00:00:00,"[0.15437786281108856, 0.3529480993747711, 0.4926740229129791]",0,"[0.20210394263267517, 0.002891464624553919, 0.7950045466423035]",0
2020-07-03 00:00:00,"[0.024922270327806473, 0.8071616888046265, 0.16791608929634094]",-1,"[0.9963257312774658, 0.0021318106446415186, 0.0015423991717398167]",1
2020-07-16 00:00:00,"[0.11715271323919296, 0.5764157772064209, 0.30643144249916077]",-1,"[0.23551547527313232, 0.06330741941928864, 0.7011771202087402]",0
2020-07-21 00:00:00,"[0.09366670250892639, 0.6444674730300903, 0.26186585426330566]",-1,"[0.3722221851348877, 0.0007922631921246648, 0.6269855499267578]",0
2020-07-27 00:00:00,"[0.047295041382312775, 0.08661767095327377, 0.8660873174667358]",0,"[0.0025209656450897455, 0.9378241300582886, 0.059654902666807175]",-1
2020-08-14 00:00:00,"[0.045556481927633286, 0.610108494758606, 0.34433504939079285]",-1,"[0.20005281269550323, 0.07318846881389618, 0.7267587184906006]",0
2020-08-19 00:00:00,"[0.5079009532928467, 0.33334818482398987, 0.15875092148780823]",1,"[0.3325248062610626, 0.0008550788625143468, 0.666620135307312]",0
2020-09-02 00:00:00,"[0.07575266063213348, 0.5736792683601379, 0.3505680561065674]",-1,"[0.20466455817222595, 0.2108342945575714, 0.5845011472702026]",0
2020-09-08 00:00:00,"[0.09413821250200272, 0.25332310795783997, 0.6525387167930603]",0,"[0.007726870942860842, 0.07911621779203415, 0.9131569266319275]",0
2020-09-17 00:00:00,"[0.5702913403511047, 0.04977951943874359, 0.37992915511131287]",1,"[0.00019987004634458572, 0.00011779743363149464, 0.9996823668479919]",0
2020-09-28 00:00:00,"[0.0259795393794775, 0.04634292796254158, 0.927677571773529]",0,"[9.985138603951782e-05, 0.9998103976249695, 8.972709474619478e-05]",-1
2020-10-12 00:00:00,"[0.04312913119792938, 0.5018924474716187, 0.45497840642929077]",-1,"[0.24901016056537628, 0.00042301107896491885, 0.750566840171814]",0
2020-11-13 00:00:00,"[0.04845936596393585, 0.5077885389328003, 0.44375213980674744]",-1,"[0.12185858190059662, 0.8713827133178711, 0.006758753210306168]",-1
2020-12-16 00:00:00,"[0.017516817897558212, 0.7307232022285461, 0.25175997614860535]",-1,"[0.3710278868675232, 0.06963132321834564, 0.55934077501297]",0
2021-03-14 00:00:00,"[0.033162672072649, 0.08836299926042557, 0.8784743547439575]",0,"[0.4496086537837982, 0.5495670437812805, 0.0008243024349212646]",-1
2021-03-16 00:00:00,"[0.033840373158454895, 0.4540228545665741, 0.512136697769165]",0,"[0.010764687322080135, 0.8792397975921631, 0.1099955216050148]",-1
2021-04-15 00:00:00,"[0.32926860451698303, 0.4497166872024536, 0.22101472318172455]",-1,"[0.0003613458829931915, 0.00010542052041273564, 0.9995331764221191]",0
2021-05-18 00:00:00,"[0.4686528742313385, 0.40032705664634705, 0.13102008402347565]",1,"[0.332989364862442, 0.00038826072704978287, 0.6666224002838135]",0
2021-05-27 00:00:00,"[0.24662192165851593, 0.283046692609787, 0.4703313708305359]",0,"[0.01868385821580887, 0.2023596465587616, 0.7789564728736877]",0
2021-05-28 00:00:00,"[0.2775518000125885, 0.2967991232872009, 0.42564910650253296]",0,"[0.07749922573566437, 0.21036860346794128, 0.7121321558952332]",0
